country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","02-12-2025 22:00:00",26.1403345,85.3650192,SO2,11,16,14
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","02-12-2025 22:00:00",25.592539,85.227158,PM2.5,57,76,67
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","02-12-2025 22:00:00",25.592539,85.227158,CO,33,119,68
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","02-12-2025 22:00:00",25.610369,85.132568,PM2.5,35,262,97
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","02-12-2025 22:00:00",22.348441,82.549611,CO,22,62,24
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","02-12-2025 22:00:00",22.1910172,83.5197009,PM10,63,159,100
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","02-12-2025 22:00:00",22.1910172,83.5197009,NH3,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","02-12-2025 22:00:00",22.1910172,83.5197009,OZONE,7,147,79
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","02-12-2025 22:00:00",25.859655,85.77944,CO,23,114,73
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","02-12-2025 22:00:00",24.952822,84.002396,PM2.5,31,116,56
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","02-12-2025 22:00:00",24.952822,84.002396,SO2,4,6,5
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","02-12-2025 22:00:00",28.570173,76.933762,NH3,9,12,10
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","02-12-2025 22:00:00",28.570173,76.933762,CO,56,130,72
India,Delhi,Delhi,"Narela, Delhi - DPCC","02-12-2025 22:00:00",28.822836,77.101981,NO2,26,110,67
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","02-12-2025 22:00:00",28.567890,77.250515,PM2.5,383,500,448
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","02-12-2025 22:00:00",28.567890,77.250515,NO2,70,143,96
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","02-12-2025 22:00:00",28.567890,77.250515,NH3,14,32,23
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","02-12-2025 22:00:00",28.567890,77.250515,CO,126,164,151
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","02-12-2025 22:00:00",28.567890,77.250515,OZONE,2,271,122
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","02-12-2025 22:00:00",28.6573814,77.1585447,PM2.5,310,479,399
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","02-12-2025 22:00:00",23.107969,72.574648,SO2,3,17,11
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","02-12-2025 22:00:00",22.977134,72.553024,SO2,7,85,30
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","02-12-2025 22:00:00",23.002657,72.591912,OZONE,35,89,76
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","02-12-2025 22:00:00",23.020509,72.579261,PM10,109,188,155
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","02-12-2025 22:00:00",23.020509,72.579261,NO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","02-12-2025 22:00:00",23.020509,72.579261,SO2,4,18,7
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","02-12-2025 22:00:00",23.016834,72.625775,NH3,3,12,7
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","02-12-2025 22:00:00",23.016834,72.625775,OZONE,1,68,42
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","02-12-2025 22:00:00",28.563262,77.186937,PM2.5,267,500,426
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","02-12-2025 22:00:00",28.563262,77.186937,NO2,30,157,84
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","02-12-2025 22:00:00",28.563262,77.186937,OZONE,3,62,20
India,Delhi,Delhi,"Rohini, Delhi - DPCC","02-12-2025 22:00:00",28.732528,77.119920,PM10,250,500,408
